
"SongName","ArtistName","AlbumName"
"End of the Movie","CAKE","Pressure Chief"
"The Pretender","Foo Fighters","Echoes Silence Patience And Grace"
"Daydreamin' (feat. Jill Scott)","Lupe Fiasco","Food & Liquor"
"Sing for the Moment","Eminem","The Eminem Show"
"Holiday in Cambodia","Dead Kennedys","Fresh Fruit for Rotting Vegetables"
"Holiday in Cambodia","Dead Kennedys","Mutiny on the Bay"
"Everlong (acoustic)","Foo Fighters","The Colour and the Shape"
"F.O.D.","Green Day","Dookie"
"2 Atoms in a Molecule","Noah and the Whale","Peaceful, the World Lays Me Down"
"Jolie coquine","Caravan Palace","Caravan Palace"
"Waiting","Green Day","International Superhits"
"She","Green Day","International Superhits"
"Hitchin’ a Ride","Green Day","International Superhits"
"Redundant","Green Day","International Superhits"
"Macy's Day Parade","Green Day","International Superhits"
"We’re Going to Be Friends","The White Stripes","White Blood Cells"
"Shut Up And Let Me Go","The Ting Tings","We Started Nothing"
"My Door Is Always Open","Noah and the Whale","The First Days of Spring"
"Seed 2.0","The Roots",""
"In To Deep","Sum 41","All Killer No Filler"
"The First Days of Spring","Noah and the Whale","The First Days of Spring"
"Paraniod","Black Sabbath","Paranoid"
"Sobatage","Beasty Boys",""
"Saints and Sinners","Paddy Casey",""
"Resistance","Muse","Resistance"
"Island in the Sun","Weezer","Weezer (Green Album)"
"Commissioning a Symphony in C","CAKE","Comfort Eagle"
"Comfort Eagle","CAKE","Comfort Eagle"
"Folsom Prison Blues","Johnny Cash","The Legend of Johnny Cash"
"Don’t Ask","Blood Red Shoes","Fire Like This"
"Thnks fr th Mmrs","Fall Out Boy","Believers Never Die - Greatest Hits"
"Crash This Train","Joshua James","Crash This Train / The Garden - EP"
"The Best Is Yet To Come","Frank Sanatra",""
"I Fought The Law (cover The Clash)","Green Day","I Fought the Law"
"Scotty Doesn't Know","Sum 41","Eurotrip"
"Fat Lip","Sum 41","American Pie 2"
"American Pie","Don McLean","Born on the Fourth of July"
"The Prayer","Kid Cudi","Man on the Moon: The End of Day"
"Empire","Jukebox the Ghost","Everything Under the Sun (Master)"
"Otherside","Macklemore","VS. "
"Long Way Round","Stereophonics","Dakota"
"Colours","GROUPLOVE","GROUPLOVE EP"
"Learn My Lesson Well","Kaiser Chiefs","Yours Truly, Angry Mob"
"Timshel (Live at Studio Brussel - Club 69)","Mumford & Sons","Sigh No More"
"A Song About an Anglerfish","Hank Green","This Machine Pwns N00bs"
"Booty Swing","Parov Stelar","The Paris Swing Box"
"Whisky in the Jar","Thin Lizzy","Whiskey in the Jar"
"The Best Of U","Foo Fighters","Foo Fighters"
"99 Red Balloons (cover)","Goldfinger","The Best of Goldfinger"
"I Fought the Law","Clash","Story of the Clash, Vol. 1 (1 of 2)"
"Cradle","The Joy Formidable","The Big Roar"
"Be Good or Be Gone","Fionn Regan","The End of History"
"The Look","Metronomy","The English Riviera"
"Dance, Dance","Fall Out Boy","Dance, Dance"
"Scar tisue","Red Hot Chili Peppers","-"
"Cool Guys Dont Look at Explosions","The Lonely Island","The Lonely Island"
"Ulyses","Franz Ferdinand","Michael"
"Me vs. Maradona vs. Elvis","Brand New","Deja Entendu"
"Alandria","Foo Fighters","Wasting Light"
"You Only Live Once","The Strokes","You Only Live Once"
"Monkeywrench","Foo Fighters","Greatest Hits"
"The Saints Are Coming","U2 And Green Day","German Top100 Single Charts"
"Bridge Is Burning","Foo Fighters","Wasting Light"
"Lynyrd Skynyrd","Sweet Home Alabama","Mr Music Hits No.10"
"My Lovely Horse","The Divine Comedy","Victory for the Comic Muse"
"Learm to fy","Foo Fighters","One by One"
"Itchin’ on a Photograph","GROUPLOVE","Never Trust a Happy Song"
"Heroes or Ghosts (As Gaeilge)","The Coronas","Heroes or Ghosts"
"Walk","Foo Fighters","www.sites.google.com/site/ring2mobile/"
"Five Years Time","Noah and the Whale","5 Years Time"
"Tonight's the kind of night","Noah and the Whale","Noah and the Whale"
"Introdiction","Scroobius Pip","Introdiction"
"Tongue Tied","GROUPLOVE","Never Trust a Happy Song"
"It's The End Of The World As We Know It","REM","Unknown Album"
"Old Pine","Ben Howard","Every Kingdom"
"Under Cover of Darkness","The Strokes","Angles"
"Times They Are a Changing","Bob Dylan","Best Of"
"Little Talks","Of Monsters and Men","My Head Is an Animal"
"Down With the Trumpets","Rizzle Kicks","Stereo Typical"
"Addicted To Progress","The Coronas","Closer to You"
"Paradise City","Guns N' Roses","Guns And Roses"
"Don’t Sit Down ’cause I’ve Moved Your Chair","Arctic Monkeys","Suck It and See"
"L.I.F.E.G.O.E.S.O.N.","Noah and the Whale","Last Night on Earth"
"Little Black Submarines","The Black Keys","El Camino"
"Here Comes Your Man","Pixies","Doolittle"
"If I Be Wrong","Wolf Larsen","Quiet at the Kitchen Door "
"R U Mine?","Arctic Monkeys","Suck It and See"
"Keep Me","The Black Keys","Rubber Factory"
"Thick as Thieves","Kasabian","West Ryder Pauper Lunatic Asylum"
"Joxer Goes to Stuttgart","Christy Moore","The Christy Moore Collection"
"Rockstar","Nickelback","All the Right Reasons"
"Lonely Day","Sistem of a Donw","Hypnotize"
"Come Closer","Miles Kane","Colour of the Trap"
"I Can Ride My Bike With No Handlebars","The Flowbots","The Flowbot"
"Tonight The Streets Are Ours","Richard Hawley","Lady's Bridge"
"Jerk It Out","The Ceasers","Unknown Album"
"The Wolf","Miniature Tigers","Tell It to the Volcano"
"Higher Love","James Vincent McMorrow","We Don't Eat"
"1985","Bowling For Soup","Best of Bowling For Soup"
"All the Rowboats","Regina Spektor","What We Saw From the Cheap Seats"
"Tamacun","Rodrigo y Gabriela","Rodrigo y Gabriela"
"Tessellate","alt-J","An Awesome Wave"
"Breezeblocks","alt-J","An Awesome Wave"
"Something Good","alt-J","An Awesome Wave"
"Machine Gun","Jimmy Hendrix","live at the fillmore east - disc one"
"1234","Feist","The Reminder"
"This Year","The Mountain Goats","The Sunset Tree"
"BULLET WITH BUTTERFLY WINGS","Smashing Pumpkings","Mellon Collie and the Infinite Sadness"
"Meth Lab Zoso Sticker","7Horse","Let The 7Horse Run [Explicit]"
"No Hope","The Vaccines","No Hope"
"Purple Haze","Jimmy Hendrix","Digitally Remastered"
"Hero","Family Of The Year","Loma Vista"
"Sometimes","Sound Of Guns","Angels and Enemies"
"Fuck You","Lilly Allen","It's Not Me It's You"
"Welcome to the jungle","Guns And Roses","Guns and Roses"
"Where Have All the Flowers Gone","Pete Seeger","If I Had a Hammer: Songs of Hope & Struggle"
"Stars In Their Eyes","Just Jack","Now That's What I Call Music! 66"
"Angels (Mirrors Remix) ","The XX","The Vandals // Just Chillout - July 2012 (Part 2)"
"Little Wing","Jimmy Hendrix","South Saturn Delta"
"Ain't No Rest For The Wicked","Cage The Elephant","Raiii"
"Skyfall","Adele","Skyfall 007"
"Doom And Gloom","Rolling Stones","DMC DJ Promo 165"
"Queen of the City","Joshua James","From the Top of Willamette Mountain"
"The Answer","Kodaline","The Kodaline EP"
"Next Year","Two Door Cinema Club","Indie/Rock Playlist: Best Of (2012)"
"Stars (Hold On)","Youngblood Hawke","Indie/Rock Playlist: Best Of (2012)"
"Teenage Icon","The Vaccines","Indie/Rock Playlist: Best Of (2012)"
"Best Day of My Life","American Authors","Single"
"Chocolate","The 1975","the 1975"
"Disintegration ft. Dita Von Teese","Monarchy","Monarchy"
"Sun","Two Door Cinema Club","Beacon"
"Thrift Shop","Macklemore","Unknown"
"Nothing Arrived","Villagers","{Awayland}"
"Make It Burn Them","Skrillex","Unknown"
"Welcome Home","Radical Face","Ghost"
"Feels Like We Only Go Backwards","Tame Impala","Tame Impala"
"Strong as an Oak","Watsky","Cardboard Castles"
"Try Dying","Scroobius Pip","Distraction Pieces"
"Flame","Bell X1","Flock"
"The Last Of Us Main Theme","Gustavo Santaolalla","The Last Os Us Soundtrack"
"Bohemian Like You","The Dandy Warhols","Bohemian Like You"
"Grade 8 (acoustic)","Ed Sheeran ","Lego House"
"Chairman Of The Bored","Mikill Pane","Chairman Of The Bored EP"
"Diane Young","Vampire Weekend","Modern Vampires of the City"
"Another Love (Explicit Edit)","Tom Odell","Official UK Singles Chart Top 40"
"Good Feeling","Mikill Pane","Good Feeling EP"
"Prayer in C (Robin Schulz Bootleg)","Lilly Wood & The Prick","."
"Arabella","Arctic Monkeys","AM"
"The Path (A New Beginning)","Gustavo Santaolalla","The Last of Us"
"I See Fire","Ed Sheetan","I See Fire"
"Two Fingers","Jake Bugg","Jake Bugg"
"Seen It All","Jake Bugg","Jake Bugg"
"Lightning Bolt","Jake Bugg","Jake Bugg"
"Snap Out of It","Arctic Monkeys","AM"
"Cool Kids (Acoustic)","Echosmith","Acoustic Dreams - EP"
"Are You With Me","Lost Frequencies","La Previa Hits #8"
